2018-06-18 11:50:09,387 INFO   logging initialization
2018-06-18 11:50:20,987 INFO        代币符号:SLR, 24H涨跌幅:-1.73, 成交量:9784291, 全称:SolarCoin
2018-06-18 11:50:20,987 INFO        代币符号:TOKC, 24H涨跌幅:-6.98, 成交量:190162, 全称:TOKYO
2018-06-18 11:50:20,988 INFO        代币符号:WPR, 24H涨跌幅:-5.32, 成交量:21347928, 全称:WePower
2018-06-18 11:50:20,988 INFO        代币符号:ZEIT, 24H涨跌幅:-0.52, 成交量:2379578, 全称:泽塔币
2018-06-18 11:50:20,988 INFO   板块名称:公链, 24H涨跌幅:-2.3772250993, 成交量:190439292554
2018-06-18 11:50:20,988 INFO        代币符号:ACT, 24H涨跌幅:-2.906029, 成交量:72424809, 全称:A链
2018-06-18 11:50:20,988 INFO        代币符号:ELF, 24H涨跌幅:-3.052087, 成交量:172563250, 全称:aelf
2018-06-18 11:50:20,988 INFO        代币符号:AE, 24H涨跌幅:-2.81, 成交量:594640282, 全称:Aeternity
2018-06-18 11:50:20,988 INFO        代币符号:ARDR, 24H涨跌幅:-2.88, 成交量:178196535, 全称:阿朵币
2018-06-18 11:50:20,988 INFO        代币符号:XAS, 24H涨跌幅:-8.39, 成交量:62331207, 全称:阿希币
2018-06-18 11:50:20,988 INFO        代币符号:BIS, 24H涨跌幅:-8.58, 成交量:14081518, 全称:Bismuth
2018-06-18 11:50:20,989 INFO        代币符号:BTC, 24H涨跌幅:-1.369281, 成交量:110918101536, 全称:比特币
2018-06-18 11:50:20,989 INFO        代币符号:GBYTE, 24H涨跌幅:-0.68, 成交量:86666577, 全称:字节雪球
2018-06-18 11:50:20,989 INFO        代币符号:BTM, 24H涨跌幅:-3.041163, 成交量:556847245, 全称:比原链
2018-06-18 11:50:20,989 INFO        代币符号:ADA, 24H涨跌幅:-2.389641, 成交量:4145790433, 全称:艾达币
2018-06-18 11:50:20,990 INFO        代币符号:CS, 24H涨跌幅:-5.63, 成交量:45749436, 全称:Credits
2018-06-18 11:50:20,990 INFO        代币符号:CRW, 24H涨跌幅:-2.19, 成交量:10569111, 全称:Crown
2018-06-18 11:50:20,990 INFO        代币符号:CMT, 24H涨跌幅:-3.676711, 成交量:145807139, 全称:草莓糖
2018-06-18 11:50:20,991 INFO        代币符号:EKT, 24H涨跌幅:-3.75, 成交量:38512600, 全称:EDUCare
2018-06-18 11:50:20,991 INFO        代币符号:ELA, 24H涨跌幅:-4.724528, 成交量:148000472, 全称:亦来云
